,index,eventId,seriesId,matchId,teamId,teamName,map,oppTeamId,oppTeamName,teamScore,atkFirst,won,acs,kills,firstKills,deaths,firstDeaths,assists,damage,headshots,bodyshots,legshots,plants,defusals,clutches,clutchOpponents,clutchOpportunities,KDR,KD,FKD,KDA,spentCreds,loadoutValue,avgEconRating,dates
463,464,566,14141,28997,3990,UNNAMED,Haven,588,PK,4,1,0,141.35294117647058,40,4,73,13,11,85.34117647058824,34,96,7,4,1,1,51,14,0.547945205479452,-33,-9,40.15068493150685,2517.0588235294117,3027.6470588235293,33.90511801822856,2021-07-01
462,463,566,14141,28997,588,PK,Haven,3990,UNNAMED,13,0,1,230.89411764705883,73,13,40,4,30,141.23529411764707,54,126,4,3,3,0,13,3,1.825,33,9,73.75,2006.4705882352941,3749.4117647058824,70.389914980944,2021-07-01
461,462,566,14142,29001,3991,AST,Ascent,3698,UNNAMED,0,1,0,40.13846153846154,9,2,20,2,1,22.092307692307692,6,21,1,2,0,0,13,4,0.45,-11,0,9.05,536.1538461538462,571.5384615384615,41.20516499282639,2021-07-01
460,461,566,14142,29001,3698,UNNAMED,Ascent,3991,AST,13,0,1,74.50769230769231,20,2,9,2,6,45.01538461538462,18,33,2,0,2,1,1,1,2.2222222222222223,11,0,20.666666666666668,523.0769230769231,879.2307692307693,86.05882352941177,2021-07-01
459,460,566,14142,29000,3991,AST,Bind,3698,UNNAMED,5,0,0,181.03333333333333,54,3,79,15,26,114.12222222222222,47,135,12,3,0,1,44,14,0.6835443037974683,-25,-12,54.32911392405063,2543.8888888888887,2867.777777777778,44.86132343306399,2021-07-01
458,459,566,14142,29000,3698,UNNAMED,Bind,3991,AST,13,1,1,239.9111111111111,79,15,54,3,26,153.67777777777778,56,199,22,9,1,2,18,7,1.462962962962963,25,12,79.48148148148148,2247.777777777778,3572.222222222222,68.36875926841326,2021-07-01
457,458,566,14157,29046,3499,UNNAMED,Bind,3071,ILUZ,12,1,0,214.15384615384616,98,12,95,14,36,134.07692307692307,74,183,24,12,3,2,42,16,1.0315789473684212,3,-2,98.37894736842105,2713.846153846154,3651.153846153846,49.404761904761905,2021-07-01
456,457,566,14157,29046,3071,ILUZ,Bind,3499,UNNAMED,14,0,1,211.34615384615384,95,14,98,12,31,134.73076923076923,55,238,17,11,4,8,41,19,0.9693877551020408,-3,2,95.31632653061224,2608.076923076923,3650.769230769231,51.659047338150714,2021-07-01
455,456,566,14157,29045,3499,UNNAMED,Haven,3071,ILUZ,7,0,0,187.24,64,10,75,10,24,111.29,42,121,15,4,2,0,44,13,0.8533333333333334,-11,0,64.32,2521.0,3434.5,44.14518048393494,2021-07-01
454,455,566,14157,29045,3071,ILUZ,Haven,3499,UNNAMED,13,1,1,204.1,75,10,64,10,28,126.57,48,188,19,8,3,1,28,8,1.171875,11,0,75.4375,2534.0,4069.0,49.94869771112865,2021-07-01
453,454,566,14143,29004,1282,UNNAMED,Haven,141,C9,8,0,0,192.0095238095238,71,10,79,11,19,128.44761904761904,62,156,20,7,1,0,39,13,0.8987341772151899,-8,-1,71.24050632911393,2417.6190476190477,3412.8571428571427,53.12980106362024,2021-07-01
452,453,566,14143,29004,141,C9,Haven,1282,UNNAMED,13,1,1,211.1238095238095,79,11,71,10,29,127.41904761904762,56,177,15,9,1,3,30,11,1.1126760563380282,8,1,79.40845070422536,2460.0,3455.714285714286,51.79636082075106,2021-07-01
451,452,566,14143,29003,1282,UNNAMED,Icebox,141,C9,8,0,0,192.14285714285714,72,8,87,13,23,118.87619047619047,65,116,11,6,0,3,48,16,0.8275862068965517,-15,-5,72.26436781609195,2534.7619047619046,3335.714285714286,46.898365583317684,2021-07-01
450,451,566,14143,29003,141,C9,Icebox,1282,UNNAMED,13,1,1,232.4857142857143,87,13,72,8,24,148.1904761904762,63,161,16,8,1,3,27,11,1.2083333333333333,15,5,87.33333333333333,2433.3333333333335,3705.714285714286,60.900195694716245,2021-07-01
449,450,566,14144,29007,751,303,Haven,2724,AME,13,1,1,231.94736842105263,81,11,55,8,32,150.8736842105263,65,129,12,12,3,3,18,9,1.4727272727272727,26,3,81.58181818181818,2305.7894736842104,3940.5263157894738,65.4325496461995,2021-07-01
448,449,566,14144,29007,2724,AME,Haven,751,303,6,0,0,176.4,55,8,81,11,15,107.56842105263158,44,139,9,6,3,2,47,14,0.6790123456790124,-26,-3,55.18518518518518,2553.157894736842,2982.1052631578946,42.131519274376416,2021-07-01
447,448,566,14144,29006,751,303,Icebox,2724,AME,13,0,1,215.0,86,15,71,8,23,136.44347826086957,70,158,13,9,3,1,27,11,1.2112676056338028,15,7,86.32394366197182,2446.521739130435,3856.9565217391305,55.77039274924471,2021-07-01
446,447,566,14144,29006,2724,AME,Icebox,751,303,10,1,0,186.55652173913043,71,8,86,15,30,118.45217391304348,47,164,20,8,3,4,55,16,0.8255813953488372,-15,-7,71.34883720930233,2581.7391304347825,3575.6521739130435,45.88076793533177,2021-07-01
445,446,566,14145,29010,2926,UNNAMED,Bind,2411,AI,2,1,0,116.54666666666667,26,3,73,12,7,73.78666666666666,22,72,1,5,0,2,54,15,0.3561643835616438,-47,-9,26.095890410958905,2406.6666666666665,2724.0,30.65927977839335,2021-07-01
444,445,566,14145,29010,2411,AI,Bind,2926,UNNAMED,13,0,1,255.53333333333333,73,12,26,3,23,152.01333333333332,57,147,13,3,3,0,4,2,2.8076923076923075,47,9,73.88461538461539,1972.0,3945.3333333333335,77.08586883029072,2021-07-01
443,444,566,14145,29009,2926,UNNAMED,Ascent,2411,AI,6,0,0,164.31578947368422,53,10,77,9,21,101.30526315789474,34,169,16,1,2,0,44,12,0.6883116883116883,-24,1,53.27272727272727,2437.3684210526317,3265.7894736842104,41.56337724033686,2021-07-01
442,443,566,14145,29009,2411,AI,Ascent,2926,UNNAMED,13,1,1,222.89473684210526,77,9,53,10,21,133.9578947368421,61,156,9,9,0,2,26,8,1.4528301886792452,24,-1,77.39622641509433,2362.1052631578946,3698.4210526315787,56.711229946524064,2021-07-01
441,442,566,14146,29013,3992,UH,Icebox,543,UNNAMED,7,1,0,178.56,58,5,78,15,26,111.75,41,152,12,7,0,1,46,13,0.7435897435897436,-20,-10,58.333333333333336,2451.5,3326.0,45.58433612074241,2021-07-01
439,440,566,14146,29012,3992,UH,Ascent,543,UNNAMED,8,0,0,209.0857142857143,76,11,84,10,21,133.89523809523808,68,199,8,6,2,0,36,13,0.9047619047619048,-8,1,76.25,2488.5714285714284,3292.3809523809523,53.80405663987754,2021-07-01
410,411,566,14131,28968,2805,UNNAMED,Split,1021,TLP,14,0,1,200.9,91,11,91,15,33,129.69230769230768,59,202,20,6,4,1,46,13,1.0,0,-4,91.36263736263736,2630.0,3728.076923076923,49.31266452178999,2021-07-01
409,410,566,14131,28967,1021,TLP,Ascent,2805,UNNAMED,13,0,1,216.8190476190476,82,9,70,12,39,129.41904761904763,48,205,22,8,2,1,25,9,1.1714285714285715,12,-3,82.55714285714286,2544.7619047619046,3964.285714285714,50.85703592814372,2021-07-01
408,409,566,14131,28967,2805,UNNAMED,Ascent,1021,TLP,8,1,0,201.04761904761904,70,12,82,9,27,126.27619047619048,49,158,16,7,2,2,48,15,0.8536585365853658,-12,3,70.32926829268293,2560.0,3309.5238095238096,49.326636904761905,2021-07-01
377,378,566,14129,28961,1436,UNNAMED,Split,95,NYFU,4,0,0,139.41176470588235,35,6,76,11,10,87.83529411764705,24,123,22,1,0,0,52,13,0.4605263157894737,-41,-5,35.13157894736842,2298.823529411765,2938.823529411765,38.208802456499484,2021-07-01
376,377,566,14129,28961,95,NYFU,Split,1436,UNNAMED,13,1,1,238.90588235294118,76,11,35,6,29,142.30588235294118,56,175,8,7,0,0,14,4,2.1714285714285713,41,5,76.82857142857142,2375.8823529411766,4089.4117647058824,59.89601386481802,2021-07-01
375,376,566,14175,29100,5,UNNAMED,Ascent,3665,PROF,4,1,0,167.47058823529412,43,3,72,15,17,113.11764705882354,40,122,8,7,0,0,48,13,0.5972222222222222,-29,-12,43.236111111111114,2331.176470588235,3094.705882352941,48.523845571536725,2021-07-01
374,375,566,14175,29100,3665,PROF,Ascent,5,UNNAMED,13,0,1,229.65882352941176,72,15,43,3,32,132.2235294117647,53,141,20,4,3,2,15,6,1.6744186046511629,29,12,72.74418604651163,2388.823529411765,3761.176470588235,55.35089879340063,2021-07-01
373,374,566,14175,29099,5,UNNAMED,Bind,3665,PROF,10,0,0,179.5391304347826,70,12,92,11,29,121.41739130434783,53,239,11,7,2,4,49,16,0.7608695652173914,-22,1,70.31521739130434,2664.782608695652,3323.0434782608695,45.56371349322892,2021-07-01
372,373,566,14175,29099,3665,PROF,Bind,5,UNNAMED,13,1,1,220.4695652173913,92,11,70,12,29,140.38260869565218,60,192,9,8,2,1,30,11,1.3142857142857143,22,-1,92.41428571428571,2328.695652173913,3836.9565217391305,60.28379387602689,2021-07-01
371,372,566,14120,28935,3533,UNNAMED,Split,3337,UNNAMED,13,1,1,239.53684210526316,82,10,69,9,28,135.7263157894737,48,202,18,7,2,4,23,9,1.1884057971014492,13,1,82.40579710144928,2497.3684210526317,3530.5263157894738,54.3477344573235,2021-07-01
370,371,566,14120,28935,3337,UNNAMED,Split,3533,UNNAMED,6,0,0,215.33684210526314,69,9,82,10,30,134.3578947368421,44,177,15,3,1,1,36,14,0.8414634146341463,-13,-1,69.36585365853658,2493.157894736842,3458.9473684210525,53.890648089508126,2021-07-01
369,370,566,14120,28934,3533,UNNAMED,Bind,3337,UNNAMED,13,0,1,227.33684210526314,79,8,63,11,31,136.7578947368421,50,152,13,6,4,3,24,9,1.253968253968254,16,-3,79.4920634920635,2358.4210526315787,3844.7368421052633,57.98705646061148,2021-07-01
368,369,566,14120,28934,3337,UNNAMED,Bind,3533,UNNAMED,6,1,0,192.10526315789474,63,11,79,8,20,122.34736842105264,38,153,12,7,1,0,42,13,0.7974683544303798,-16,3,63.25316455696203,2571.5789473684213,3308.9473684210525,47.5767498976668,2021-07-01
